"school_id","school_name","school_city_n","school_state_n","school_district_n","nominator_reason_n"
"801","Rooted School Vancouver","Vancouver","Washington","Rooted School Vancouver","Rooted School Vancouver (RSV) exists to provide students with personal pathways to financial freedom. RSV does this by giving students the opportunity to self-direct their own learning through individualized learning playlists, earn industry-recognized credentials, and hone industry-specific skills through project-based learning. RSV creates a learning environment that supports the whole student, while also staying at the forefront of education innovation and best practices. "
"803","VALE - Venture Academy of Leadership and Entrepreneurship","Parker","Colorado",NA,"VALE (Venture Academy of Leadership and Entrepreneurship), is redefining alternative education to equip students with the necessary skills and tools to succeed in a rapidly evolving world.  They are unleashing the potential of every student by providing a non-traditional educational approach, meaningful learning experiences, and problem-based learning opportunities that transcend traditional content areas. VALE prepares students to become entrepreneurial change-makers, well-equipped for life."
"814","Colossal Academy","Fort Lauderdale","Florida",NA,"Colossal takes student and community centered learning to the next level. Young people have autonomy in what and where they learn as well as being exposed to entrepreneurship at an early age. They move through the design process and develop products to take to market and conduct market research within their community. The actually make their community their classroom and take the richness of their neighborhood and honor it's assets."
"830","Desert View High School","Tucson","Arizona",NA,"Desert View High School reflects the attributes of the Sunnyside school district: a tremendously strong commitment to its graduate portrait and to a through-line of systems coherence that stems from that portrait and shapes virtually everything that happens in the school. Their watchwords are agency, purpose, and identity. They are also offering very strong CTE/STEM programs. These programs are representative of Sunnyside’s systems coherence in action."
"838","Vertex Partnership Academies","Bronx","New York","Vertex","IB World HS with both academic and career related programme pathways: Biomedical science, computer science and cybersecurity, and montessori early childhood education with real world partners and industry credentials."
"838","Vertex Partnership Academies","Bronx","New York",NA,"Vertex Partnership Academies is a character-based, International Baccalaureate public charter high schools dedicated to equality of opportunity, individual dignity, and our common humanity."
"848","Upton High School","Upton","Wyoming","Weston County School District #7","Upton High School uses personalized learning and flexible staffing, including 5 CTE teachers who are committed to providing students with work-related experiences as well as the necessary skills to succed in careers post-secondary.  Upton High School offers 8 programs of study as well as opportunities for students to receive industry recognized credentials while in school. Students become connected to their interests, passions, and strengths, giving them an abundance of opportunities to learn and thrive as a result. The high school doesn't push college as the only goal, and the structure is designed to empower students to excel in whichever path they choose. "
"848","Upton High School","Upton","Wyoming","Weston County School District #7","Personalized learning is at the core of Upton High School.  The high school utilizes a unique schedule that allows students a lot of flexibility in what classes they take, including multi-grade classrooms, self-directed learning periods, and open periods for work-study and other anytime/anywhere learning opportunities. In addition, the school culture is permeated by a belief in student choice: “Our teachers are very, very flexible and willing to do what’s best for kids. A lot of times that means it’s gonna be tougher for the individual adult, but we care about kids, and we’re willing to do whatever it takes to make sure that kids are successful and have opportunities,” explained Principal Samuelson.
"
"861","Launch Expeditionary Learning Charter School","Brooklyn","New York",NA,"Launch’s mission is to prepare students to thrive in college and careers by providing a public education rooted in active learning experiences and powerful character development."
"868","Coker-Wimberly Elementary","Battleboro","North Carolina",NA,"Coker-Wimbley is currently using the Number Lab math instructional model to accelerate math learning."
"872","Innovation Heights Academy","Seattle","Washington","Highline Public Schools","As a small alternative school serving grades 9–12, Innovation Heights is uniquely positioned to reimagine learning through deep relationships, individualized support, and responsive design. Innovation Heights is laying the groundwork for systems that reflect its values: honoring students’ identities, fostering belonging, and creating pathways that meet learners where they are. Their willingness to test ideas, listen to students, and iterate is a powerful indicator of a school committed not just to change, but to meaningful transformation."
"872","Innovation Heights Academy","Burien","Washington",NA,"Innovation Heights Academy strives to be a flexible learning option for students. They are a half day program, where students can engage in experiential learning, practice habits of life balance, and accelerate their progress toward graduation.

To provide flexibility for students, Innovation Heights Academy operates on a half day model. Students come to school Monday through Thursday for either the morning (8:30-11:30am) or afternoon session (12:00-3:00pm).

Students have the opportunity to progress toward graduation faster. Students can earn up to 9 credits in a year, as compared to 6 credits in a year in a traditional model. 

Instruction at Innovation Heights Academy is two hours each day. Students engage in project-based learning through cross-curricular learning blocks. Learning focuses on developing real-world skills which will be related to students’ individual goals. 

In order to ensure that they are preparing students to be successful in life beyond high school, they allow space for students to learn about life balance and wellness. Students spend one hour a day focusing on physical, mental, and social wellness.

Fridays are required for students who are struggling with attendance, behavior, or grades each week. Weekly, students meet with their advisor to discuss their progress toward their goals and determine if they need assistance re-engaging in their work. If students are making adequate progress on their goals, students can still come on Friday for access to clubs, community partners, and other connections."
"875","Liberty High School","Dayton","Ohio","Oakmont Education","In general, Oakmont’s comprehensive academic model provides an individualized, self-paced program that is responsive to each student’s needs. Their rigorous digital curriculum aligns with state standards and offers components that allow teachers to differentiate instruction to address diverse student needs. Each campus provides a unique blend of classroom instruction and hands-on work experience that results in students earning their diploma while also earning the nationally recognized industry credentials that will help them start their career. Oakmont offers 15 different industry credentials in three separate Workforce Development Clusters, including skilled trades, community health and wellness, and business and entrepreneurship. This training focuses on providing real-world experience for in-demand jobs in essential fields. This training empowers graduates to earn a sustainable living wage in high-demand careers without college debt."
"884","H.D. Cooke Elementary","Washington DC","District of Columbia","DCPS","HD Cooke Elementary School implements an innovative model, the Whole Child Model, which integrates multiple tiers of support throughout the school day to build a safe and supportive school climate as well as the intrapersonal and interpersonal skills young children need to regulate their emotions, manage stress, and handle conflicts productively."
"885","Raisbeck Aviation High School","Tukwila","Washington",NA,"Teachers and students engage in authentic, in-depth learning experiences in the context of real-world aviation and aerospace. Learning occurs in a coherent manner through challenging inquiry and project-based curriculum. Learning takes place inside the school and out, in cooperation with community, business and higher education partners. Partnerships provide human talent, facilities, technology and other resources necessary to prepare students for the ever-changing world of work and education."
"889","Mountain Academy at Teton Valley","Victor","Idaho",NA,"TSS offers a place-based learning model that leverages project-based learning and is deeply entrenched in the local community. They also offer tranings for teachers to support their model."
"893","Aldine Young Women's Leadership Academy","Houston","Texas",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"894","Ermel Elementary","Houston","Texas",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"895","American Indian Magnet School","St. Paul","Minnesota",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"896","Txuj Ci HMong Lower Campus","St. Paul","Minnesota",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"897","Txuj Ci HMong Upper Campus","St. Paul","Minnesota",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"902","Harris Elementary","Houston","Texas",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"903","Whittier Elementary School","Mesa","Arizona",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"904","Southern University Lab School","Baton Rouge","Louisiana",NA,"Southern University Lab School (SULS) strives to make the most of a student’s unique gifts, while helping each child achieve academic excellence, master learning skills, develop greater imagination, and establish strong self-esteem. As a college preparatory school, their academic program challenges, supports, and inspires its students. The learning experience at SULS promotes a culture where students sharpen their skills and discipline not only to succeed at their next level of education, but also to pursue their individual talents and interests. SULS' intimate learning environment helps foster a sense closeness amongst the student body and contributes to a strong community identity."
"911","JPS-Tougaloo Early College High School","Tougaloo","Mississippi",NA,"JPS-Tougaloo Early College High School (JTECHS) is a dual enrollment program on the Tougaloo College campus that seeks to promote: excellence, community, honor, and scholarship. Students in the program complete Mississippi graduation requirements for high school while working on college coursework. Students may earn an associate's degree or up to two years of credits towards a bachelor's degree. The faculty and staff focus on teaching students the academic behaviors which prove successful in this academicaly challenging program and learning environment so they may be empowered to serve as agents of change. Upon program enrollment, each student is guided by an individualized learning plan developed to help them to experience success and graduate from high school college and career ready."
"912","Kyrene de las Manitas Innovation Academy","Tempe","Arizona",NA,"Kyrene de las Manitas Innovation Academy reimagines the traditional learning environment with innovative practices in learning environments, instructional methods and staffing. Each learning studio within the program serves up to 120 students, and is taught by a core team of educators: one Teacher Executive Designer (TED), along with certified teachers and teacher candidates. Learning studios at Kyrene de las Manitas look, sound, and feel different from a typical classroom. The studios are open and dynamic, with fewer walls and a variety of learning spaces, all equipped with state-of-the-art technology and furniture designed for flexibility and collaboration. The staffing and curriculum are designed to prepare students for colleges and careers that are changing rapidly. Through a personalized, project-based learning approach, students have a chance to explore real-world issues and meaningful topics over the course of several weeks, to build knowledge on each topic through literature, research, and hands-on practice. Students simultaneously master grade-level standards and work toward a final project that puts all of their learning to work. Teachers encourage and facilitate discussion, collaboration and healthy debate. Students learn to question themselves and their peers, to foster a growth mindset. "
"914","Atlanta Unbound","Atlanta","Georgia",NA,"The AUA will serve as a beacon of academic promise and create a community of students who are the seeds of their ancestors’ wildest dreams—authentic, engaged citizens and leaders of their community who achieve beyond expectations and fuel the advancement and glory of their people."
"919","Florida A&M University Developmental Research School","Tallahassee","Florida",NA,"FAMU DRS is a laboratory school affiliated with Florida A&M University and is committed to providing a quality education for students by promoting rigor and innovative strategies for teaching and learning. Utilizing a performance-based, continuous improvement model, FAMU DRS nurtures and guides students as they develop the critical thinking, problem-solving, technological, leadership, and collaborative skills necessary to engage and compete in the ever-changing, ever-evolving global community in which they live. """"Baby Rattlers"""" experience a safe, nurturing, and creative atmosphere where they can explore and thrive."
"987","University Middle School","Memphis","Tennessee","University Schools, An Innovative School District ","This is one of the only Project Based Learning middle schools in this region, and a STEM designated school in the state of Tennessee. They have a strong focus on cross-curricular learning, and student-led projects. This hands on, experiential learning matures students' understanding of themselves and the world. Additionally, they have found a way to be on the end of adopting AI led learning across the student and teacher population. "
"990","Rock Tree Sky","Ojai","California",NA,"Rock Tree Sky was founded by parents and professional educators to offer children an environment grounded in natural curiosity and propensity to learn rather than compliance, serving as a homeschool enrichment and support center. It was started to meet the needs of homeschooling and independent study families who wanted a child-centered home base and community learning hub with flexible part-time options. What makes it distinctive is its groundbreaking partnership with the local school district's independent study program (Summit School), which provides financial accessibility while preserving learner autonomy—a model they've shared with 15+ other programs nationally. Students have complete agency to choose daily activities from mentor-led offerings or self-initiated pursuits, with access to makerspaces, gardens, farms, and natural settings. The program is non-evaluative (no grades or tests), offers full age-mixing (ages 4-18), and many high school learners are dual-enrolled in college classes while maintaining internships and small businesses in the community."
"1002","Field Academy",NA,"Colorado",NA,"Field Academy is a remarkable high school where The community is our school.

The road is our classroom.

The nation is our textbook. 

The Field Academy offers community-based academic traveling expeditions around the United States. 

We are committed to rigorous academics, immersive interdisciplinary experiences, and the transformative power of exposure and connection to community.  

Our expeditions are designed for students to apply their learning to the world while gaining credits towards a diploma, studying for the GED, or transitioning into the workforce."
"1015","Summit Atlas","Seattle","Washington","Summit Public Schools","Summit Atlas is one of the Summit campuses leading the shift towards an updated vision that every student is prepared to suceed in a meaningful next step of their choosing, whether or not that involves college enrollment. In a field where the shift away from """"college for all"""" can too often mean lowered expectations for some, the school is finding a """"middle way"""" that honors students' own interests and aspirations while still focusing on high expectations and college access."
"1017","Montessori del Mundo","Aurora","Colorado","Colorado Charter School Institute","Montessori del Mundo (MdM) reimagines the purpose and structure of school by blending Montessori philosophy with dual-language immersion to create a deeply personalized, culturally affirming learning environment. Through individualized learning plans, extended instructional time, and low student-teacher ratios, MdM restructures the classroom to honor each child's developmental path. Its bilingual model empowers students to become self-directed, confident learners who navigate diverse linguistic and cultural contexts with ease. By centering autonomy, choice, and real-world exploration, MdM creates an engaging and empowering environment where students develop as multilingual, empathetic thinkers prepared for a global society."
"1018","Mountain Middle School","Durango","Colorado","Colorado Charter School Institute","Mountain Middle School (MMS) reimagines school by transforming learning into a hands-on, project-based experience grounded in inquiry, collaboration, and technology-rich exploration. Drawing inspiration from the High Tech High model, MMS restructures traditional instruction into interdisciplinary, real-world projects that engage students deeply and promote agency, creativity, and problem-solving. Its emphasis on technology integration and personalized support creates an environment where students build confidence as innovators and critical thinkers. MMS offers an empowering approach that prepares students not just to master content, but to apply their learning meaningfully within their community and the world."
"1057","Terra Nova","Buffalo","Minnesota",NA,"Terra Nova School, located in rural Minnesota, offers a unique, student-driven learning experience for grades 6–12 that blends real-world engagement, environmental awareness, and personalized support. Through a small, tight-knit community where each student has an advisor and belongs to a mixed-grade advisory group, Terra Nova emphasizes autonomy, curiosity, and innovation. Its project-based, experiential curriculum encourages students to design their own learning around passions and interests — often “out of the classroom, into the world” — while building lifelong skills like leadership, environmental stewardship, critical thinking, and problem-solving. With authentic assessments instead of a heavy focus on traditional tests, and opportunities for expeditions, hands-on projects, and community involvement, Terra Nova reimagines school as a launching pad for self-motivated, capable, and socially conscious young adults."
"1080","Kennedy Elementary School (Lindsay USD)","Lindsay","California","Lindsay Unified","LUSD designed and implements an Early Agency Model to nourish learners’ agency and the range of skills that underpin it. The model provides ample opportunities for learners to set meaningful goals, make plans to achieve
those goals, take action, and reflect on progress along the way within a supportive context. Additionally, it cultivates a wide range of skills that fuel lifelong learning, which include academic knowledge and skills, learning-to-learn skills, and positive mindsets."
"1103","Garrison Elementary School","Washington DC","District of Columbia","DCPS","Garrison Elementary School implements an innovative model, the Whole Child Model, which integrates multiple tiers of support throughout the school day to build a safe and supportive school climate as well as the intrapersonal and interpersonal skills young children need to regulate their emotions, manage stress, and handle conflicts productively."
"1104","Animas High School","Durango","Colorado","Colorado Charter School Institute","Animas High School reimagines traditional high school by centering strong relationships, student voice, and authentic project-based learning as the foundation for student success. Through advisory structures, interdisciplinary projects, community partnerships, and immersive experiences like Osprey Blocks, AHS creates learning environments that are engaging, connected to real-world issues, and responsive to student interests. Students develop a sense of purpose and ownership over their learning as they engage in critical thinking, collaboration, and self-advocacy. AHS empowers students by recognizing them as active contributors to their education, preparing them to lead with confidence and curiosity."
"1105","Kwiyagat Community Academy","Towaoc","Colorado","Colorado Charter School Institute","Kwiyagat Community Academy (KCA) reimagines the purpose of school by centering Indigenous knowledge, Nuchiu language, and cultural identity within every aspect of teaching and learning. KCA restructures learning around small class sizes, holistic development, and a curriculum that integrates traditional ecological knowledge, community values, and project-based learning. This approach creates an environment where students feel known, grounded, and empowered, and where school becomes a meaningful extension of cultural revitalization and community strength. By honoring students’ identities and expanding their academic and personal capacities, KCA creates a transformative, engaging learning experience."
"1106","AXIS International Academy","Fort Collins","Colorado","Colorado Charter School Institute","AXIS International Academy reimagines learning by integrating multilingual immersion, global competence, and whole-child development into a cohesive, student-centered model. Through its 50/50 immersion structure and language options in Spanish, French, and Mandarin, AXIS reframes the purpose of school as a place where students build cross-cultural understanding and cognitive flexibility. The school’s Whole Child Initiative and emphasis on social-emotional learning create an engaging, nurturing environment where students learn to manage emotions, collaborate effectively, and persevere through challenges. AXIS empowers students to become multilingual, globally minded citizens equipped for a rapidly changing world."
"1107","Colorado International Language Academy","Colorado Springs","Colorado","Colorado Charter School Institute","Colorado International Language Academy (CILA) reimagines the student experience by placing multilingualism, cultural immersion, and holistic development at the center of schooling. Through daily immersion in German, Mandarin, or Spanish with native-speaking teachers, CILA structures learning in ways that foster deep engagement, curiosity, and cultural awareness. The school’s focus on intellectual, physical, and character development ensures that students grow as confident, well-rounded individuals. By providing equitable access to rigorous language programs and culturally rich experiences, CILA empowers students to thrive academically and personally in an interconnected global environment."
"1122","International Academy at Francis Hammond Middle School","Alexandria","Virginia","Alexandria City Public Schools","The International Academy is a program of academic services within Francis C. Hammond Middle School offered to recently arrived immigrant students who are learning the English language. Students are on a team with teachers who are specially trained to teach students the core academic content and the English language simultaneously. In addition, students have a school counselor and administrator dedicated to meeting their specific needs. Students have access to all elective classes, physical education and health classes, and extracurricular activities and clubs that are offered at Francis C. Hammond Middle School.

Strong adult teaming at the International Academy supports multilingual learners through a coordinated system of instruction, student supports, and tiered interventions. Students engage in project-based learning while collaborating in groups with diverse levels of language proficiency and native languages; this approach accelerates students' learning of academic English while studying a rigorous curriculum. "
"1582","The Match High School and Career Center","Indianapolis","Indiana","Matchbook Learning","The Match is a newly launched high school from Matchbook Learning, building on the K-8 school's model of personalized learning model in the unique context of a turnaround school. The Match high school is taking personalized learning to the next level by integrating a career readiness. Students participate in career pathways supported by community partners in fields like welding, engineering, computer science, healthcare, media technology, entrepreneurship, and more. Not only are students gaining real-world career experience and getting plugged into the local economy, they are also getting world-class academics. Even in its inaugural year, the Match out-performed peer schools in state standardized assessments and PSAT. "
"1588","James E. Dottke Project-Based Learning High School","West Allis","Wisconsin","West Allis-West Milwaukee School District","Dottke PBL High School transformed from an alternative school where learners were sent because they didn't fit into the traditional school system to a school of choice for learners who want to learn differently. The Dottke community is an inspiration of what learning could and should be in high school. The Dottke team takes pride in that fact that their learning experiences are """"different by design"""" and are really student centered. This learning environment is a hidden gem in the Milwaukee area that everyone should be aware of and visit."
"1589","Sussex School","MISSOULA","Montana",NA,"Sussex emphasizes the whole learner in that in addition to academics they have strong programming in outdoor education and the arts. They have daily, weekly, yearly routines that foster strong community and culture. They are continuing to push their own boundaries and assumptions to grow and iterate on their established practices. "
"1592","Watershed School","Boulder","Colorado",NA,"Watershed starts the school year with an extended wilderness trip in advisory--where culture and connection are formed. Throughout the school year students are engaged deeply in interdisciplinary projects that often see them off campus working and learning in community. The school year ends with learning on key topics off campus in through extended domestic and international trips."
"1593","""""AECI 1 - The NYC Charter School for Architecture, Engineering, and Construction Industries""""","New York City (Bronx)","New York",NA,"Theme-related school faculty have worked in their fields and bring the expertise and real-world examples to the students. In addition to the rigorous curriculum and dual credit opportunities, the school has a course for all juniors called “College Readiness” and for seniors called “Post-secondary Readiness.” This speaks to the school’s dedication to the personal growth of their students as well as their academic growth."
"1594","Global Concepts Charter School","Lackawanna","New York",NA,"The school’s mission is to “use an innovative approach to challenge and support its students to have a positive impact on an ever-changing world.” The school offers STEAM instruction for technology education, K-12. Students experience opportunities for college credit, internships, and can explore certificate programs in culinary arts, digital media arts, nursing, business management, and entrepreneurship."
"1595","Health Sciences Charter School","Buffalo","New York",NA,"The school’s mission is “Health Sciences provide high school age youth with academic learning environments that prepare them to communicate effectively, think and reason critically, value diversity, engage in service learning, pursue academic excellence, and obtain sustainable and quality careers in the health sciences industry.” The school offers opportunities for students to experience dual enrollment and earn college credit; internships in health care and related fields; shadowing; volunteering at healthcare sites; medical guest speakers; community service and 21st century skills. Certificate programs include nursing assistant, physical fitness, Licensed Practical Nurse, phlebotomy, physical technician, and EKG technician."
"1596","Charter School For Applied Technologies","Buffalo","New York",NA,"This school’s motto is “Every day is career day.” Their mission is “to prepare students to attain family-sustaining careers by integrating career exploration and a lifelong learning culture.” Students experience opportunities for college credit, internships, certificate programs in health care, business, a hands-on greenhouse that functions as a learning lab and community service, and Early College and Career Pathways, including Project Lead the Way in manufacturing. "
"1597","The Portage School Of Leaders","South Bend","Indiana","South Bend Career and Success Academies","Andrew Hoyt is a visionary leader who has created a school that is a great example of the next horizon of education. Students are integrated into the community during the learning process and are measured against a wide range of competencies and durable skills."
"1598","Jefferson County Open School","Lakewood","Colorado","Jefferson County School District R-1","Jeffco Open has been a pillar of innovation the Denver Metro area for decades. Their pedagogy is progressive grounded in student agency and projects. The path to graduation is through a series of independent projects demonstrating learning in key competencies. They foster agency also through student planned trips nationally and internationally."
"1599","The Stead School","Reunion","Colorado",NA,"The STEAD School is a Science, Technology, Environmental, Agricultural and systems Design charter high school focused on solving global food, health, energy, and environmental issues.

STEAD engages students in real life, hands-on learning, utilizing a Career and Technical Education (CTE) Agricultural Pathways curriculum in plant, animal, food, and environmental sciences. STEAD uses a Project Based Learning (PBL) approach integrating CTE curriculum and aligning guiding questions into a PBL framework where students explore these questions and utilize their findings as the foundation for projects. In addition to the scientific pathways of study, lessons in math, art, music, foreign language, English language arts, and history align with projects and engage students in deeply focused studies, Socratic seminar and community presentations."
"1600","Gran Via Education","Denver","Colorado","ER BOCES","Gran Via is deeply rooted in community responsiveness, listening to the needs of the students and families they serve and building their program for them. Gran Via has returned learning to nature, they meet each day in Westland Park as a forest school/nature school program. Due to the intentionally small nature of the school, Gran Via knows all of their students well, sees them for who they are, and responds to their unique needs in real time. They are relationally focused, while creating a rich learning environment for every child."
"1601","Boston Teachers Union","Boston","Massachusetts","Boston Public Schools","In 2005, the Boston Teachers Union and the Boston School Committee negotiated an agreement under which the Boston Teachers Union would open a new, teacher-run school to showcase their commitment to educating Boston’s children. Both the Union and the Boston Public Schools were excited about this unprecedented partnership, and worked hard to make it a reality. A committee of educators and union officers met regularly during the 2008-09 school year to plan and design the school. The first lead teachers were hired in February 2009, a partnership with Simmons College was formalized later that spring, and the Boston Teachers Union School opened its doors in September 2009, with 150 students in grades K1-2 and grade 6. By September 2011, we were a full K-8 school with approximately 340 students.

We are a shared leadership school. We do not have a principal, but instead direct the operation and development of the school through our committee structure, and our weekly faculty meetings. Our decision making is intentional and many decisions are made by consensus. Two lead teachers with a reduced teaching load perform many of the daily administrative tasks. We are part of a national network of teacher-powered schools. "
"1602","John J. Duggan Academy","Springfield","Massachusetts","Springfield Empowerment Zone Partnership","Duggan Academy is an teacher-powered Expeditionary Learning community dedicated to upholding high academic expectations through authentic learning experiences. Its students, grades 6-12, attain academic success and demonstrate exemplary character.

Duggan Middle School provides two hours per week of embedded enrichment with community partners as well as robust varsity and junior varsity athletic programs.

Duggan High School offers a variety of internships, AP courses, and dual enrollment classes in partnership with Western New England University, Springfield Technical Community College, Springfield College, and Westfield State; it graduated its first class in 2019."
"1603","Washtenaw International High School","Ypsilanti","Michigan","Washtenaw Educations Options Consortium","Washtenaw International High School is a public consortium, Teacher-Powered, International Baccalaureate (IB) High School for academically focused students in participating school districts in Washtenaw County, Wayne County, Oakland County, and Livingston County. WIHI opened its doors in the fall of 2011 with approximately 100 students and now serves 490 students in grades 9 through 12.

WIHI provides a rigorous, student-centered, inquiry-based instructional and curricular program with an emphasis on international mindedness, interdisciplinary knowledge, leadership development, and critical thinking.

Washtenaw International High School ranks #1 in Washtenaw County for ACT and College Readiness, and #2 in the state of Michigan. WIHI’s exceptional staff have a wealth of international experience, academic expertise, and passion for teaching and learning.

In addition to earning a high school diploma, all students at WIHI work towards earning an International Baccalaureate Diploma, regarded as the most rigorous and reputable high school curriculum in the world."
"1604","Elizabeth City-Pasquotank Public Schools Micro School","Elizabeth City","North Carolina","Elizabeth City-Pasquotank Public Schools","Elizabeth City’s micro school is reimagining what school can be inside a traditional public system. Students work in mixed grade communities and spend their days designing a real Airbnb concept, merging science, social studies, and English standards into a meaningful project with authentic audience and purpose. Young people lead the marketing plan, develop the concept, and manage the full creative process, gaining skills in research, writing, collaboration, and design.

The learning environment extends into the community. Students take gym at a local fitness center, study photography with a local photographer, and create art at a local performing arts studio. This approach opens up the entire region as a learning campus and shows what is possible when schools partner deeply with local talent.

Perhaps most importantly, the school is proving that bold innovation can flourish in a traditional district. With a superintendent who completed Transcend’s rural leadership cohort and is committed to big, human centered change, the team has navigated bureaucratic structures to create experiences that are engaging, effective, and empowering for all students."
"1605","Notre Dame de Sion High School for Girls","Kansas City","Missouri",NA,"As a college-prep school, that's by far not the only thing they prepare these young ladies for. Sion structures the school year by incorporating ample opportunities for the ladies to learn about themselves through interdisciplinary deep dives, cultural immersion events, community service outreach projects and travel abroad experiences. The first week of school is dedicated to a theme each year and allows the students to lead non-academic sessions, grow in leadership skills development, and learn about the school's rich history. The school is truly dedicated to developing the whole student by bringing in the community to lead workshops ranging from self-defense to managing a budget that will support the growth of the ladies for years to come. "
"1607","High Marq Environmental Charter School","Montello","Wisconsin","Montello School District","For 15 years and counting, High Marq has provided a unique educational opportunity for students in rural Marquette County, Wisconsin. With a focus on environmental learning and community service, High Marq staff prepare students for careers and post-secondary options with a flexibility that meets every student's unique needs."
"1608","Kind Academy Coral Springs","Coral Springs","Florida",NA,"Kind Academy was built in response to the school offerings in the area. They have created an environment where students and families not traditionally exposed to Montessori are thriving while being culturally relevant and embedding SEL into daily practices. KIND Academy offers families hybrid offerings for flexibility and embraces their location in Florida to have immersive learning experiences with nature and aquatic wildlife. Students who were not thriving in prior environments, find the personalized learning and family like structure supportive. "
"1609","Kalon Prep Academy","Alexandria","Minnesota",NA,"Kalon Prep Academy, located in rural Minnesota, reimagines high school through a strengths-based approach that helps students discover who they are and where they want to go. Using the REACH model—focused on relationships, education, accountability, character, and hard work—the school supports students academically, socially, and emotionally as they prepare for life after graduation. Small class sizes and personalized coaching allow students to build on their strengths, set meaningful goals, and develop essential life skills. With opportunities to explore careers, visit colleges, and engage in real-world learning, Kalon Prep creates a supportive, future-focused environment where students can grow into confident, capable young adults ready for their next steps."
"1611","E.C.H.O. Charter School (Every Child Has Opportunities)","Echo","Minnesota",NA,"E.C.H.O. Charter School, located in rural Minnesota, reimagines learning by blending a close-knit, relationship-driven environment with strong career and technical education opportunities that prepare students for life beyond high school. Its small size and low student-to-teacher ratios ensure that every learner is known, supported, and able to receive individualized attention. The school’s emphasis on hands-on, project-based learning allows students to explore practical skills and real-world career pathways while still in high school. Rooted in its rural community yet forward-looking in its design, E.C.H.O. creates a learning experience that connects academic growth with meaningful, future-ready opportunities for every student."
"1612","BlueSky Online","Statewide","Minnesota","BlueSky Online","BlueSky Online stands out for its deeply personalized, whole-child model that surrounds every student with a dedicated team—including an advisor, counselor, social worker, and teachers—who work collaboratively to guide both academic progress and personal growth. Learning is flexible and responsive, with options for structured, teacher-led courses or self-paced pathways that honor each student’s needs and circumstances. BlueSky intentionally develops and assesses learning in broader, more meaningful ways, emphasizing skills like responsible decision-making, self-management, and real-world readiness. By pairing individualized instruction with comprehensive social-emotional support, the school reimagines online education as a relationship-centered, empowering experience that helps students thrive as learners and as whole people."
"1617","Warwick Community School","Warwick","Massachusetts","Warwick Community District","The Warwick School District is a newly formed district in Franklin County, Massachusetts. After the regional school district closed down the town’s only elementary school in 2020, community members came together to identify innovative ways to keep their children in the community and decided to launch their own school district. The school is a K-8 STEAM/nature-based, project-based learning school that measures student success through community exhibitions of learning and portfolios as well as through standard measures of learning, such as annual growth in ELA in Math. Through a multi-age classroom model, students are exposed to different learners and benefit from deep personalization. The team aims to provide a blueprint for other rural communities looking to collaborate with surrounding towns on innovative ways to build out their own local districts."
"1619","Kindle Education","Jersey City","New Jersey","Kindle Education Public Charter School","Kindle Education is a racially and socioeconomically diverse 6th–12th grade public charter school in Jersey City that empowers students through a student-driven, project-based, and inquiry-oriented model. Our holistic approach combines rigorous academics with real-world application, personalized support, and a deep focus on purpose, individuality, and community."
"1620","The Village School","Arlington","Virginia",NA,"This small school is centered around self-directed learning. Students learn through projects and play, demonstrating growth through flexible proficiency rather than worksheets and assessments. In their own words, at TVS they """"focus first on nurturing a sense of safety in our learners– security in who they are, what they are capable of, where they belong, and why they matter."""""
"1621","New Hampshire Career Academy",NA,"New Hampshire","The New Hampshire Charter School Foundation","NHCA exists at the intersection of education and workforce development, creating direct pathways from the classroom to the state’s most in-demand careers. Along the way, students gain hands-on experience, mentorship, and professional confidence that prepare them to thrive in whatever comes next, continuing their education, entering the workforce, or both. Through a collaboration with the Community College System of New Hampshire (CCSNH) and partnerships with local employers, students learn on college campuses, earn two degrees, and build the skills that open doors to higher education and meaningful careers.
 "
"1622","Denver Green School Northfield","Denver","Colorado","Denver Public Schools","As part of the Luminary Learning Network's innovation zone, this school  uses practices like not having a principal, using non-licensed teachers for electives, giving teachers more freedoms for when they take personal days, more planning minutes, and an increased role for students and educators in school decision making. The school model emphasizes real world experiences through excursions and an emphasis on sustainability."
"1623","Mark Twain Dual Language Academy","San Antonio","Texas","San Antonio Independent School District","This school offers an education design rooted in evidence-based bilingual education practice. The student experience is coherent from elementary through middle school and educators use collaborative planning time for intentional aligninment and scaffolding  esulting in consistent academic growth. The staff advocate for and explore more assessments that better represent their student population's strengths and abilities, and are active in building community through mentorship and family engagement. "
"1624","Brooklyn Emerging Leaders Academy Charter School","New York City","New York","New York City Public Schools","As a single sex all-female charter high school with IB for all and strong leadership development programming and mentoring focused on empowering young women to be successful in college and career, BELA is reimagining how the structure and experiences in school can set students up for success."
