Nomination ID,SurveyName,Official School Name,District or CMO,School City,School State,Reason for nominating,Canopy School ID,CanopyID (from Official School Name),Portal Publicly disclosable nominator org
Nominator_2019-03_Throughline Learning_Central Elementary School,Nominator_2019-03,Central Elementary School,,Lincoln,RI,"This school creates a learning environment that is engaging, effective, and empowering for all students.",29,29,Throughline Learning
Nominator_2019-03_Building Blocks Education_Charles W. Eliot PreK-8th Grade School,Nominator_2019-03,Charles W. Eliot PreK-8th Grade School,,Cleveland,OH,"This school creates a learning environment that is engaging, effective, and empowering for all students.",30,30,Building Blocks Education
Nominator_2019-03_Georgia Governor's Office of Student Achievement_Charles R. Drew Charter School,Nominator_2019-03,Charles R. Drew Charter School,,Atlanta,GA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",31,31,Anonymous
Nominator_2023-11_A Revolution in Education_Charlotte Lab School,Nominator_2023-11,Charlotte Lab School,N/A,Charlotte,NC,"The school is committed to adopting and modeling a habit of innovation, keeping the changing needs of students at the forefront of all decisions related to curriculum, programs, and policies. It has a student-centered focus on the whole child, with learning personalized to each student's needs and opportunities for real-world experiences.  One of their signature practices are Quests, which challenge-based courses and projects, which are interdisciplinary and enable students to discuss and collaboratively develop solutions for real-world challenges. These Quests provide students with exposure to current events, history, science content, math, literacy skills, and valuable life skills. Their high school is also creating professional learning opportunities through internships and client projects.  The school's program is highly individualized, allowing students to pursue their interests.",32,32,A Revolution in Education
Nominator_2019-03_Digital Learning Institute_Charlotte Lab School,Nominator_2019-03,Charlotte Lab School,,Charlotte,NC,"This school creates a learning environment that is engaging, effective, and empowering for all students.",32,32,Digital Learning Institute
Nominator_2022-11_NewSchools Venture Fund_Charlotte Lab School,Nominator_2022-11,Charlotte Lab School,Charlotte Lab Schools,Charlotte,NC,"Since our founding in 2015, Charlotte Lab School has been committed to adopting and modeling a habit of innovation - keeping the changing needs of our students at the forefront of all decisions related to curriculum, programs, and policies. Grounded in this student-centered approach are the principles that guide how we approach our work and each other. We call it The Lab Way.",32,32,NewSchools Venture Fund
Nominator_2024-10_Transcend_Charlotte Lab School,Nominator_2024-10,Charlotte Lab School,-,Charlotte,NC,"Charlotte lab school implements an innovative learning model, Quests, which is an interdisciplinary, challenge-based opportunity for students to research, investigate, and solve real-world problems and create authentic deliverables while building 21st-century skills.",32,32,Anonymous
Nominator_2019-03_South Carolina Department of Education Office of Personalized Learning_Chastain Road Elementary,Nominator_2019-03,Chastain Road Elementary,,Liberty,SC,"This school creates a learning environment that is engaging, effective, and empowering for all students.",33,33,South Carolina Department of Education Office of Personalized Learning
Nominator_2019-03_Center for Teaching Quality_Childersburg Middle School,Nominator_2019-03,Childersburg Middle School,,Childersburg,AL,"This school creates a learning environment that is engaging, effective, and empowering for all students.",34,34,Center for Teaching Quality
Nominator_2019-03_Next Generation Learning Challenges_CICS West Belden,Nominator_2019-03,CICS West Belden,,Chicago,IL,"West Belden has pursued a path towards high-expectations whole-child development for the past five years, with exemplary results. They are working with a challenging urban school population (K-8), and have put into place a deeply personalized approach that builds on knowing each child deeply and enabling increasing degrees of agency among the students, helping them develop a broad set of competencies. They are very articulate on how they have worked with the staff to co-develop this model, across three cohorts of teachers. Colleen Collins gave us an important lesson from her work there as principal: """"everyone needs to feel that they're part of the pilot."""" Meaning: initially the school worked deeply with its first cohort to co-develop the model, and then did the same with the second cohort; when it came time to bring the third cohort into the work, those teachers were told to watch the other cohorts and """"do what they do."""" That strategy produced some pushback from those teachers and convinced Colleen and other school leaders that in fact, it is crucial in designing and implementing agency-driven learning models to make sure that the adults are all experiencing the same kind of agency-driven culture. Later cohorts of teachers can't simply be asked to implement; they must be invited to co-create as much as earlier cohorts, even as they also are able to build on the work of those cohorts. This is a crucial lesson for the field. The change processes and the professional culture of teachers must mirror the 21st-century goals and learning strategies that we are all holding for students.",35,35,Next Generation Learning Challenges
Nominator_2019-03_CA Group Consulting_Cisco Elementary,Nominator_2019-03,Cisco Elementary,,Cisco,TX,"This school creates a learning environment that is engaging, effective, and empowering for all students.",36,36,Anonymous
Nominator_2019-03_Charter School Growth Fund_Citizens of the World Hollywood,Nominator_2019-03,Citizens of the World Hollywood,,Los Angeles,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",37,37,Charter School Growth Fund
Nominator_2025-10_Diverse Charter Schools Coalition_Citizens of the World Hollywood,Nominator_2025-10,Citizens of the World Hollywood,NA,Los Angeles,California,"Citizens of the World Charter Schools Los Angeles (CWC LA) is a network of charter schools. The mission of CWC LA is to create an intimate network of high-achieving, community-based public schools for a diverse community of students, developing their abilities, confidence, and sense of responsibility for themselves and their community as true citizens of the world. 

COTW is an active member of Diverse Charter Schools Coalition.",37,37,Diverse Charter Schools Coalition
Nominator_2019-03_Education Reimagined_City Garden Montessori School,Nominator_2019-03,City Garden Montessori School,,St. Louis,MO,"Montessori is a well-established and relatively well-known model. However, it has generally always been available mostly to affluent families and communities. City Garden is attempting to be a leader in making this highly successful, highly learner-centered model available to learners from historically disadvantaged backgrounds. They have done amazing work in building an anti-bias, anti-racist curriculum that allows them to better serve a diverse population of learners, while not losing the central elements of Montessori education: multi-age classrooms, developmentally-appropriate materials and teaching strategies, following the learner. This is one school I have not yet visited, so there are elements of the program I do not know. Therefore, what I select below are not necessarily reflective the broad range of work going on at the school.",38,38,Education Reimagined
Nominator_2019-03_Arkansas Team Digital_Clarendon High School,Nominator_2019-03,Clarendon High School,,Clarendon,AR,"This school creates a learning environment that is engaging, effective, and empowering for all students.",39,39,Arkansas Team Digital
Nominator_2019-03_Global Teaching Project_Coahoma Early College High School,Nominator_2019-03,Coahoma Early College High School,,Clarksdale,MS,"This school creates a learning environment that is engaging, effective, and empowering for all students.",40,40,Global Teaching Project
Nominator_2019-03_Virginia Department of Education_CodeRVA Regional High School,Nominator_2019-03,CodeRVA Regional High School,,Richmond,VA,"CodeRVA began as a collaborative effort on the part of Regional Superintendents in Region 1 of Virginia.  This opportunity captures the best and most relevant tech-rich experiences, specifically coding, that can catapult students into meaningful and life-long careers.",41,41,Anonymous
Nominator_2019-03_228 Accelerator_Columbia Heights Educational Campus (CHEC),Nominator_2019-03,Columbia Heights Educational Campus (CHEC),,Washington,DC,"This school creates a learning environment that is engaging, effective, and empowering for all students.",42,42,228 Accelerator
Nominator_2019-03_Idaho State Department of Education - Idaho Mastery Education Network_Columbia High School,Nominator_2019-03,Columbia High School,,Nampa,ID,"This school creates a learning environment that is engaging, effective, and empowering for all students.",43,43,Idaho State Department of Education - Idaho Mastery Education Network
Nominator_2019-03_Idaho State Department of Education - Idaho Mastery Education Network_Columbia High School,Nominator_2019-03,Columbia High School,,Nampa,ID,"This school creates a learning environment that is engaging, effective, and empowering for all students.",43,43,Idaho State Department of Education - Idaho Mastery Education Network
Nominator_2019-03_Barr Foundation_Common Ground High School,Nominator_2019-03,Common Ground High School,,New Haven,CT,Charter school located on an urban farm and large city park. Focus on high expectation and equity. Lots of local partnerships that they are in the process of further leveraging to have robust school experiences outside of the classroom walls. Students are deeply involved in their ongoing school iteration.,44,44,Anonymous
Nominator_2019-03_EdSurge_Community Lab School,Nominator_2019-03,Community Lab School,,Charlottesville,VA,They're doing remarkable work bringing elements of play into curriculum in meaningful ways. They're working with MIT's Playful Assessment team to rethink how to measure student growth and partnering with MakerEd to bring making and play to life at their school (https://www.edsurge.com/news/2018-12-11-how-playful-assessment-unseated-standardized-tests-at-one-school). The school has been around for 10 years but recently reopened with a new staff and model.,45,45,EdSurge
Nominator_2019-03_Overdeck Family Foundation_Community Lab School,Nominator_2019-03,Community Lab School,,Charlottesville,VA,"The school provides an innovative learning environment, using the arts, to help children in grades six through eight balance individual strengths and developmental needs to develop the whole child intellectually, emotionally, physically and socially. With Choice Theory as our philosophical base, we strive to help students gain more responsibility for their social-emotional lives and in their academics. Seeking to serve students at risk of not succeeding in school, we foster the knowledge, skills, and habits of mind necessary to close student achievement gaps in math and reading literacy and provide a community of engaged learners and participatory citizens.",45,45,Anonymous
Nominator_2019-03_Education First_Compass Academy,Nominator_2019-03,Compass Academy,,Denver,CO,"This school creates a learning environment that is engaging, effective, and empowering for all students.",46,46,Anonymous
Nominator_2023-11_Transcend_Compass Academy,Nominator_2023-11,Compass Academy,-,Denver,CO,Compass Academy supports students in developing academic and social-emotional competencies that provide postsecondary pathway success. ,46,46,Anonymous
"Nominator_2019-03_Overdeck Family Foundation_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2019-03,"""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",,New York,NY,"Serve a very high need student population with a strong equity and whole child lens. Also have thought tech integration to facilitate differentiation and feedback loops.

Concourse Village Elementary School has implemented a personalized learning model with a rigorous and culturally responsive teacher-created curriculum. The school is located in the South Bronx and earned Blue Ribbon status for its academic success in recent years. Students in grade levels that have begun the conversion to a personalized learning model engage in a stations-based flexible learning experiences, with voice and choice over what tasks they engage in, as well as how they demonstrate what they have learned. Technology is thoughtfully integrated into the school's model to provide students with learning experiences that would not be possible with traditional materials and/or to streamline work for teachers. Also core to the model at Concourse Village is their focus on knowledge-based literacy instruction, cumulatively building knowledge and vocabulary through the rigorous and culturally relevant curriculum materials their team has sourced and developed internally. The approach provides students with substantial agency and responsibility, including leading classroom instruction for their peers for some content and learning modalities. Located in the most impoverished congressional district in the country, Concourse Village is equipping students its students with both the academic and soft skills they will need to successfully navigate the rest of their education and succeed in the job market of the 21st century.

One of the most inspirational schools we have visited which employs student-centered learning and has developed its own rigorous OER content based on regular student feedback.",47,47,Anonymous
"Nominator_2019-03_The Learning Accelerator_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2019-03,"""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",,Bronx,NY,"Serve a very high need student population with a strong equity and whole child lens. Also have thought tech integration to facilitate differentiation and feedback loops.

Concourse Village Elementary School has implemented a personalized learning model with a rigorous and culturally responsive teacher-created curriculum. The school is located in the South Bronx and earned Blue Ribbon status for its academic success in recent years. Students in grade levels that have begun the conversion to a personalized learning model engage in a stations-based flexible learning experiences, with voice and choice over what tasks they engage in, as well as how they demonstrate what they have learned. Technology is thoughtfully integrated into the school's model to provide students with learning experiences that would not be possible with traditional materials and/or to streamline work for teachers. Also core to the model at Concourse Village is their focus on knowledge-based literacy instruction, cumulatively building knowledge and vocabulary through the rigorous and culturally relevant curriculum materials their team has sourced and developed internally. The approach provides students with substantial agency and responsibility, including leading classroom instruction for their peers for some content and learning modalities. Located in the most impoverished congressional district in the country, Concourse Village is equipping students its students with both the academic and soft skills they will need to successfully navigate the rest of their education and succeed in the job market of the 21st century.

One of the most inspirational schools we have visited which employs student-centered learning and has developed its own rigorous OER content based on regular student feedback.",47,47,The Learning Accelerator
"Nominator_2020-11_The Learning Accelerator_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2020-11,"""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",NYCDOE,Bronx,NY,The school does a lot with culture. SEL is intertwined in their DNA,47,47,The Learning Accelerator
"Nominator_2019-03_TNTP_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2019-03,"""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",,New York City,NY,"Serve a very high need student population with a strong equity and whole child lens. Also have thought tech integration to facilitate differentiation and feedback loops.

Concourse Village Elementary School has implemented a personalized learning model with a rigorous and culturally responsive teacher-created curriculum. The school is located in the South Bronx and earned Blue Ribbon status for its academic success in recent years. Students in grade levels that have begun the conversion to a personalized learning model engage in a stations-based flexible learning experiences, with voice and choice over what tasks they engage in, as well as how they demonstrate what they have learned. Technology is thoughtfully integrated into the school's model to provide students with learning experiences that would not be possible with traditional materials and/or to streamline work for teachers. Also core to the model at Concourse Village is their focus on knowledge-based literacy instruction, cumulatively building knowledge and vocabulary through the rigorous and culturally relevant curriculum materials their team has sourced and developed internally. The approach provides students with substantial agency and responsibility, including leading classroom instruction for their peers for some content and learning modalities. Located in the most impoverished congressional district in the country, Concourse Village is equipping students its students with both the academic and soft skills they will need to successfully navigate the rest of their education and succeed in the job market of the 21st century.

One of the most inspirational schools we have visited which employs student-centered learning and has developed its own rigorous OER content based on regular student feedback.",47,47,TNTP
"Nominator_2024-10_Transcend_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2024-10,"""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",New York City Department of Education,Bronx,NY,"LEAD implements an innovative model, RevX , which develops learners’ confidence to address real-world challenges using core academic, social-emotional, and professional skills and, in turn, supports learners in dismantling mindsets of inferiority or doubt that may stand in their way.",47,47,Anonymous
Nominator_2019-03_Center for Artistry and Scholarship_Conservatory Lab Charter School,Nominator_2019-03,Conservatory Lab Charter School,,Dorchester,MA,"At the core of Conservatory Lab's pioneering curriculum is the hybrid of two proven and exemplary programs: El Sistema and Expeditionary Learning. Both programs emphasize the experience of breaking through barriers in the pursuit of excellence and creating a culture and habit of perseverance. Conservatory Lab provides a unique learning experience that includes daily music instruction, based on the El Sistema approach, for all students PreK-8. Our youngest scholars participate in daily vocal and rhythmic instruction before moving to a stringed instrument in grade one. In fourth grade, some students transition to woodwinds, brass or percussion instruments.  As an EL Education (formerly Expeditionary Learning) school, all students participate in 1-2 expeditions each year. These interdisciplinary units typically lasting 8-12 weeks are grounded in social studies or science content, while building literacy skills and integrating the arts. Students participate in research and field work, collaborate with experts in the field, engage with service learning opportunities, and develop an authentic product, modeled after artifacts from the real world.  Taken together, these two programs motivate and nurture Conservatory Lab's students to become dedicated scholars, compassionate leaders, and skilled musicians.  ",48,48,Center for Artistry and Scholarship
Nominator_2021-12_Tennessee Charter School Center_Crosstown High,Nominator_2021-12,Crosstown High,Shelby County School District,Memphis,TN,Project based learning,49,49,Tennessee Charter School Center
Nominator_2024-10_Transcend_Crosstown High,Nominator_2024-10,Crosstown High,Memphis-Shelby County Schools,Memphis,TN,"This school is a high-performing charter high school features many innovative experiences for its students, such as competency-based learning, project-based learning, maker spaces, and more.",49,49,Transcend
Nominator_2019-03_XQ Institute_Crosstown High,Nominator_2019-03,Crosstown High,,Memphis,TN,"At Crosstown High, students learn alongside businesses, nonprofits, health services, and civic organizations. It is a place for real-world learning where everyone benefits, strengthening the community and city at large. Located in a historic, renovated industrial building, Crosstown shares space with more than 40 organization committed to using arts and culture as a catalyst for change. Students get to have ownership over their own learning and the freedom to follow their curiosities and explore new interests. Crosstown has an intentional approach to creating ""diversity-by-design,"" recruiting students from across the city and helping a rapidly evolving Memphis that's trying to put a history of segregation and inequality in the past.",49,49,Anonymous
Nominator_2019-03_The Learning Accelerator_Dan D. Rogers Elementary School,Nominator_2019-03,Dan D. Rogers Elementary School,,Dallas,TX,"This school creates a learning environment that is engaging, effective, and empowering for all students.",50,50,The Learning Accelerator
Nominator_2021-12_The Learning Accelerator_Dan D. Rogers Elementary School,Nominator_2021-12,Dan D. Rogers Elementary School,Dallas ISD,Dallas,TX,"They have a strong instructional model that individualizes instruction with teachers leveraging tools like playlists, small group instruction, and learner profiles. Incredible job around social-emotional learning and well-being of kids especially in the last couple of years. They are working on performance-based assessments and increasing opportunities for authentic student agency. This school is often used as a showcase site for external visitors to see personalized learning in Dallas ISD in action.",50,50,The Learning Accelerator
Nominator_2019-03__Da Vinci Extension,Nominator_2019-03,Da Vinci Extension,,Hawthorne,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",51,51,
Nominator_2019-03_ReSchool Colorado_Da Vinci Extension,Nominator_2019-03,Da Vinci Extension,,Hawthorne,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",51,51,ReSchool Colorado
Nominator_2019-03_Tennessee SCORE_DB EXCEL (Kingsport),Nominator_2019-03,DB EXCEL (Kingsport),,Kingsport,TN,"D-B EXCEL in Kingsport City Schools is re-envisioning the high school experience to offer an alternative for students who are seeking a non-traditional setting. Located separately from the main high school (Dobyns-Bennett High School), D-B EXCEL offers a flexible schedule and an intense focus on blended, personalized learning. Supported by a team of educators, students take online classes that allow them to learn at their own pace and to complete coursework in the evenings or on weekends to accommodate work or extra-curricular schedules. D-B EXCEL engages students in rigorous, standards-aligned instruction with a focus on project-based learning which allows students to demonstrate content mastery through products, performances, or presentations rather than traditional assessments or work products. D-B EXCEL was first envisioned in Spring 2014 and currently serves more than 200 students.",52,52,Anonymous
Nominator_2024-10_Transcend_DB EXCEL (Kingsport),Nominator_2024-10,DB EXCEL (Kingsport),Kingsport City Schools,Kingsport,TN,This school features a very strong academic program focused in STEM and personalized learning.,52,52,Anonymous
Nominator_2019-03_Digital Promise_DC Bilingual Public Charter School,Nominator_2019-03,DC Bilingual Public Charter School,,Washington,DC,"This school creates a learning environment that is engaging, effective, and empowering for all students.",53,53,Anonymous
Nominator_2019-03_National Charter Collaborative_DC Bilingual Public Charter School,Nominator_2019-03,DC Bilingual Public Charter School,,Washington,DC,"This school creates a learning environment that is engaging, effective, and empowering for all students.",53,53,Anonymous
Nominator_2022-11_The Center for Learner Equity_DC Bilingual Public Charter School,Nominator_2022-11,DC Bilingual Public Charter School,Dc Bilingual Pcs,Washington,DC,"DC Bilingual uses a unique, immersive dual-language model in which students are taught in both English and Spanish across content areas. The school also emphasizes partnerships with families as a core part of its model, including regular home visits and other workshops and activities targeted toward families.",53,53,The Center for Learner Equity
Nominator_2019-03_PBLWorks_[Non-Operating School] Denver School of Innovation and Sustainable Design,Nominator_2019-03,[Non-Operating School] Denver School of Innovation and Sustainable Design,,Denver,CO,"This school creates a learning environment that is engaging, effective, and empowering for all students.",54,54,Anonymous
Nominator_2024-10_Transcend_[Non-Operating School] Denver School of Innovation and Sustainable Design,Nominator_2024-10,[Non-Operating School] Denver School of Innovation and Sustainable Design,School District No. 1 in the county of Denver and State of Colorado,Denver,CO,"This school features innovative experiences whereby students engage in culturally-relevant academic, interpersonal, creative, and professional pursuits. Students also receive personalized learning experiences and real-world projects, students become prepared to contribute to social and civic life.",54,54,Anonymous
Nominator_2019-03_CA Group Consulting_Derry Elementary,Nominator_2019-03,Derry Elementary,,Port Isabel,TX,"This school creates a learning environment that is engaging, effective, and empowering for all students.",55,55,Anonymous
Nominator_2019-03_Next Generation Learning Challenges_Design Tech High School,Nominator_2019-03,Design Tech High School,,Redwood City,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",56,56,Next Generation Learning Challenges
Nominator_2023-11_Transcend_Design Tech High School,Nominator_2023-11,Design Tech High School,-,Redwood City,CA,"d.tech leverages a strong design thinking approach, lots of cllege and career prep, extracurriculars",56,56,Anonymous
Nominator_2024-10_Transcend_Design Tech High School,Nominator_2024-10,Design Tech High School,,Redwood City,CA,"Design Tech High implements the innovative learning model, Innovation Diploma, which uses the design thinking process to equip students with the tools and mindsets they need to explore personal purpose and address real-world challenges. ",56,56,Anonymous
Nominator_2019-03_The Learning Accelerator_Design39Campus,Nominator_2019-03,Design39Campus,,San Diego,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",57,57,The Learning Accelerator
Nominator_2021-12_The Learning Accelerator_Design39Campus,Nominator_2021-12,Design39Campus,Poway Unified School District,San Diego,CA,This was a school incubated by a handpicked principal and teachers. They engaged a lot of stakeholders. The school they built incorporates design thinking. Students are encouraged to be entrepreneurial with many elementary students setting up businesses. Spaces are intentionally created to facilitate collaboration and creativity.,57,57,The Learning Accelerator
Nominator_2022-11_Transcend_Design39Campus,Nominator_2022-11,Design39Campus,Ponway Unified School District,San Diego,CA,"Design39 is a TK-8 public school whose design principles stand out—committed to innovation over compliance, Design39 believes that education must be personalized, inquiry-based, connect students to each other and the world, as well as inspire creativity enabled by technology and design thinking. Students are constantly working through projects in self-directed ways, get to collaborate and learn from one another. ",57,57,Transcend
Nominator_2022-11_NewSchools Venture Fund_Digital Pioneers Academy,Nominator_2022-11,Digital Pioneers Academy,Digital Pioneers Academy,Washington,DC,"At Digital Pioneers Academy, computer science is at the core of our educational model. We empower students to develop marketable computer science skills and habits of innovation to experience a future of choice. Every student at Digital Pioneers Academy will learn Computer Science at every grade level.",58,58,NewSchools Venture Fund
Nominator_2019-03_Philanthropy Roundtable_Digital Pioneers Academy,Nominator_2019-03,Digital Pioneers Academy,,Washington,DC,"This school creates a learning environment that is engaging, effective, and empowering for all students.",58,58,Anonymous
Nominator_2020-11_The Center for Learner Equity_Digital Pioneers Academy,Nominator_2020-11,Digital Pioneers Academy,Digital Pioneers Academy PCS,Washington,DC,"Innovative school holding all students to standards of excellence, both academically and personally. ",58,58,The Center for Learner Equity
Nominator_2022-11_Transcend_Digital Pioneers Academy,Nominator_2022-11,Digital Pioneers Academy,Digital Pioneers Academy,"Washington, D.C.",DC,"DPA is a computer science and college prep focused school serving 6th - 10th grade across two campuses. They serve mostly Black and Brown students and have a mission to prepare them to have a passion for and a career in computer science. Their academic model also includes very Leaps-aligned design principles—highly personalized and relevant content and instruction, an emphasis on safety and care in the learning environment, rigor across content areas, among others. ",58,58,Transcend
Nominator_2019-03_Power My Learning_Du Bois Integrity Academy,Nominator_2019-03,Du Bois Integrity Academy,,Riverdale,GA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",59,59,Power My Learning
Nominator_2019-03_Utah State Board of Education_Duchesne High School,Nominator_2019-03,Duchesne High School,,Duchesne,UT,"This school creates a learning environment that is engaging, effective, and empowering for all students.",60,60,Utah State Board of Education
Nominator_2019-03_Next Generation Learning Challenges_e3 Civic High,Nominator_2019-03,e3 Civic High,,San Diego,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",61,61,Next Generation Learning Challenges
Nominator_2020-08_Next Generation Learning Challenges_e3 Civic High,Nominator_2020-08,e3 Civic High,E3 Civic High District,San Diego,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",61,61,Next Generation Learning Challenges
Nominator_2024-10_Transcend_e3 Civic High,Nominator_2024-10,e3 Civic High,E3 Civic High District,San Diego,CA,"This school features innovative student experiences focused on engaging, educating, and empowering students for a civically engaged life after school.",61,61,Anonymous
Nominator_2025-10_Transcend_e3 Civic High,Nominator_2025-10,e3 Civic High,e3 Civic High,San Diego,California,"e3 Civic High focuses on personalized, real-world learning anchored in its mission to Engage. Educate. Empower.  Students participate in design-thinking and project-based learning, with internships and civic engagement embedded into their high school experience. The school’s setting — in the downtown San Diego Central Library — provides access to advanced research resources and collaborative spaces, making school more dynamic than traditional classrooms. Graduation preparation is built-in: all scholars have college, workforce & life targets, use technology tools (e.g., MacBooks and fabrication labs), and engage in internships tied to their interests and goals.",61,61,Anonymous
Nominator_2019-03_Tennessee SCORE_Early Technical College at Tennessee College of Applied Technology,Nominator_2019-03,Early Technical College at Tennessee College of Applied Technology,,Clarksville,TN,"This school creates a learning environment that is engaging, effective, and empowering for all students.",62,62,Anonymous
Nominator_2019-03_NewSchools Venture Fund_East College Prep,Nominator_2019-03,East College Prep,,Los Angeles,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",63,63,Anonymous
Nominator_2022-11_NewSchools Venture Fund_East College Prep,Nominator_2022-11,East College Prep,"Ednovate, Inc.",Los Angeles,CA,"Ednovate is a network of public, tuition-free, high-performing college prep high schools in Los Angeles and Orange County. We serve first-generation college-bound students from traditionally underserved communities. Most Ednovate students come from communities that have been underserved for decades by the public education system. About 98% of Ednovate’s enrollment is students of color, and 82% come from low-income households. Our students have a 99% college acceptance rate, but what matters even more is that we’re graduating self-aware, engaged young adults who are headed toward a life of purpose and impact. We prepare high school students from Southern California’s most under-resourced communities for success in school and life, empowering them to use their college degrees and careers to make a positive multigenerational change. ",63,63,NewSchools Venture Fund
Nominator_2019-03_Charter School Growth Fund_USC Hybrid High College Prep,Nominator_2019-03,USC Hybrid High College Prep,,Los Angeles,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",64,64,Charter School Growth Fund
Nominator_2020-08_Transcend_USC Hybrid High College Prep,Nominator_2020-08,USC Hybrid High College Prep,Ednovate - USC Hybrid High College Prep,Los Angeles,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",64,64,Transcend
Nominator_2024-10_Transcend_USC Hybrid High College Prep,Nominator_2024-10,USC Hybrid High College Prep,Ednovate Charter Schools,Los Angeles,CA,"This school stands out for its expertise in digital modalities and hybrid approach toward anytime, anywhere learning and active self-direction. They are committed to closing the college graduation gap through Ednovate's personalized college prep curriculum, which empowers students with tailored support and equips every graduate with the confidence and skills to achieve multigenerational positive change.",64,64,Transcend
Nominator_2019-03_CA Group Consulting_Elmer G Bondy Intermediate,Nominator_2019-03,Elmer G Bondy Intermediate,,Pasadena,TX,"This school creates a learning environment that is engaging, effective, and empowering for all students.",65,65,Anonymous
Nominator_2019-03_Digital Promise_Ember Charter School for Mindful Education; Innovation; and Transformation,Nominator_2019-03,Ember Charter School for Mindful Education; Innovation; and Transformation,,Brooklyn,NY,Deep cultural and identify focus. Centered on Afrocentric curriculum. Teacher pathways modeled after law firms where teachers are partners. Experiential / exposure model. New definitions and models of student success.,66,66,Anonymous
Nominator_2019-03_National Charter Collaborative_Ember Charter School for Mindful Education; Innovation; and Transformation,Nominator_2019-03,Ember Charter School for Mindful Education; Innovation; and Transformation,,Brooklyn,NY,Rafiq and his team are intently focused on creating a beloved community in which all students feel affirmed. The team at Ember has built and intentionally mindful learning environment that prioritizes inquiry in academics and student social-emotional development.,66,66,Anonymous
Nominator_2019-03_Moonshot EdVentures_[Non-Operating School] Empower Community High School,Nominator_2019-03,[Non-Operating School] Empower Community High School,,Aurora,CO,"This school creates a learning environment that is engaging, effective, and empowering for all students.",67,67,Anonymous
Nominator_2020-08_Moonshot EdVentures_[Non-Operating School] Empower Community High School,Nominator_2020-08,[Non-Operating School] Empower Community High School,Aurora Public Schools (authorizer); single site charter,Aurora,CO,"This school creates a learning environment that is engaging, effective, and empowering for all students.",67,67,Anonymous
Nominator_2022-11_Moonshot EdVentures_[Non-Operating School] Empower Community High School,Nominator_2022-11,[Non-Operating School] Empower Community High School,N/A,Aurora,CO,Student agency and voice and the ability for students to have the driving power and decision making ability in all aspects of the school. The vision of transformative resistance and ability for students to take a large diversity of electives and courses.,67,67,Moonshot EdVentures
Nominator_2022-11_NewSchools Venture Fund_[Non-Operating School] Empower Community High School,Nominator_2022-11,[Non-Operating School] Empower Community High School,N/A (single site charter),Aurora,CO,"Students develop a strong sense of agency over their academic learning and progress when they design and personalize their own educational experiences.  They claim greatest ownership over their work when it fulfills a genuine need in the community. We believe schools should provide multiple opportunities for students to identify local and global community needs and address those needs with a fresh and reasoned application of academic and technical skills. Competencies in the required applications will be informed by the Colorado Academic Standards, Common Core and Next Generation Science Standards and guided by educators who possess a critical and liberatory pedagogy. ",67,67,NewSchools Venture Fund
Nominator_2020-08_ReSchool Colorado_[Non-Operating School] Empower Community High School,Nominator_2020-08,[Non-Operating School] Empower Community High School,Aurora Public Schools,Aurora,CO,"This school creates a learning environment that is engaging, effective, and empowering for all students.",67,67,ReSchool Colorado
Nominator_2020-08_Teach for America_[Non-Operating School] Empower Community High School,Nominator_2020-08,[Non-Operating School] Empower Community High School,n/a,Aurora,CO,"This school creates a learning environment that is engaging, effective, and empowering for all students.",67,67,Teach for America
Nominator_2019-03_National Center for Learning Disabilities_Envision Academy,Nominator_2019-03,Envision Academy,,Oakland,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",68,68,National Center for Learning Disabilities
Nominator_2019-03_The Learning Accelerator_EPiC Elementary,Nominator_2019-03,EPiC Elementary,,Liberty,MO,EPIC is a project-based learning school which infuses district curated Open Education Resources (OER) to push student-centered and relevant learning.,69,69,The Learning Accelerator
Nominator_2019-03_National Center for Learning Disabilities_Evergreen Community Charter School,Nominator_2019-03,Evergreen Community Charter School,,Asheville,NC,They have strong presentations and do explicit instruction of key skills.,70,70,National Center for Learning Disabilities
